id;deck_id;front_text;front_subtext;front_image_url;back_text;back_subtext;back_reading;back_example;audio_url;tags;difficulty;order_index;created_at
fc-hira-020;deck-hiragana;と;Hiragana;;TO;T-row;to;;;{t-row,basic};1;20;2026-01-22 15:03:48.51809+00
fc-hira-021;deck-hiragana;な;Hiragana;;NA;N-row;na;;;{n-row,basic};1;21;2026-01-22 15:03:48.51809+00
fc-hira-022;deck-hiragana;に;Hiragana;;NI;N-row;ni;;;{n-row,basic};1;22;2026-01-22 15:03:48.51809+00
fc-hira-023;deck-hiragana;ぬ;Hiragana;;NU;N-row;nu;;;{n-row,basic};1;23;2026-01-22 15:03:48.51809+00
fc-hira-024;deck-hiragana;ね;Hiragana;;NE;N-row;ne;;;{n-row,basic};1;24;2026-01-22 15:03:56.169052+00
fc-hira-025;deck-hiragana;の;Hiragana;;NO;N-row;no;;;{n-row,basic};1;25;2026-01-22 15:03:56.169052+00
fc-hira-026;deck-hiragana;は;Hiragana;;HA;H-row (⚠️ WA sebagai partikel);ha;;;{h-row,exception};2;26;2026-01-22 15:03:56.169052+00
fc-hira-027;deck-hiragana;ひ;Hiragana;;HI;H-row;hi;;;{h-row,basic};1;27;2026-01-22 15:03:56.169052+00
fc-hira-028;deck-hiragana;ふ;Hiragana;;FU;H-row (⚠️ bukan HU);fu;;;{h-row,exception};2;28;2026-01-22 15:03:56.169052+00
fc-hira-029;deck-hiragana;へ;Hiragana;;HE;H-row (⚠️ E sebagai partikel);he;;;{h-row,exception};2;29;2026-01-22 15:03:56.169052+00
fc-hira-030;deck-hiragana;ほ;Hiragana;;HO;H-row;ho;;;{h-row,basic};1;30;2026-01-22 15:03:56.169052+00
fc-hira-031;deck-hiragana;ま;Hiragana;;MA;M-row;ma;;;{m-row,basic};1;31;2026-01-22 15:03:56.169052+00
fc-hira-032;deck-hiragana;み;Hiragana;;MI;M-row;mi;;;{m-row,basic};1;32;2026-01-22 15:03:56.169052+00
fc-hira-033;deck-hiragana;む;Hiragana;;MU;M-row;mu;;;{m-row,basic};1;33;2026-01-22 15:03:56.169052+00
fc-hira-034;deck-hiragana;め;Hiragana;;ME;M-row;me;;;{m-row,basic};1;34;2026-01-22 15:03:56.169052+00
fc-hira-035;deck-hiragana;も;Hiragana;;MO;M-row;mo;;;{m-row,basic};1;35;2026-01-22 15:03:56.169052+00
fc-hira-036;deck-hiragana;や;Hiragana;;YA;Y-row;ya;;;{y-row,basic};1;36;2026-01-22 15:03:56.169052+00
fc-hira-037;deck-hiragana;ゆ;Hiragana;;YU;Y-row;yu;;;{y-row,basic};1;37;2026-01-22 15:03:56.169052+00
fc-hira-038;deck-hiragana;よ;Hiragana;;YO;Y-row;yo;;;{y-row,basic};1;38;2026-01-22 15:03:56.169052+00
fc-hira-039;deck-hiragana;ら;Hiragana;;RA;R-row;ra;;;{r-row,basic};1;39;2026-01-22 15:03:56.169052+00
fc-hira-040;deck-hiragana;り;Hiragana;;RI;R-row;ri;;;{r-row,basic};1;40;2026-01-22 15:03:56.169052+00
fc-hira-041;deck-hiragana;る;Hiragana;;RU;R-row;ru;;;{r-row,basic};1;41;2026-01-22 15:03:56.169052+00
fc-hira-042;deck-hiragana;れ;Hiragana;;RE;R-row;re;;;{r-row,basic};1;42;2026-01-22 15:03:56.169052+00
fc-hira-043;deck-hiragana;ろ;Hiragana;;RO;R-row;ro;;;{r-row,basic};1;43;2026-01-22 15:03:56.169052+00
fc-hira-044;deck-hiragana;わ;Hiragana;;WA;W-row;wa;;;{w-row,basic};1;44;2026-01-22 15:03:56.169052+00
fc-hira-045;deck-hiragana;を;Hiragana;;WO;W-row (partikel objek);wo;;;{w-row,particle};2;45;2026-01-22 15:03:56.169052+00
fc-hira-046;deck-hiragana;ん;Hiragana;;N;Konsonan tunggal;n;;;{special,basic};1;46;2026-01-22 15:03:56.169052+00
fc-kata-001;deck-katakana;ア;Katakana;;A;Vokal;a;;;{vowel,basic};1;1;2026-01-22 15:04:05.992371+00
fc-kata-002;deck-katakana;イ;Katakana;;I;Vokal;i;;;{vowel,basic};1;2;2026-01-22 15:04:05.992371+00
fc-kata-003;deck-katakana;ウ;Katakana;;U;Vokal;u;;;{vowel,basic};1;3;2026-01-22 15:04:05.992371+00
fc-kata-004;deck-katakana;エ;Katakana;;E;Vokal;e;;;{vowel,basic};1;4;2026-01-22 15:04:05.992371+00
fc-kata-005;deck-katakana;オ;Katakana;;O;Vokal;o;;;{vowel,basic};1;5;2026-01-22 15:04:05.992371+00
fc-kata-006;deck-katakana;カ;Katakana;;KA;K-row;ka;;;{k-row,basic};1;6;2026-01-22 15:04:05.992371+00
fc-kata-007;deck-katakana;キ;Katakana;;KI;K-row;ki;;;{k-row,basic};1;7;2026-01-22 15:04:05.992371+00
fc-kata-008;deck-katakana;ク;Katakana;;KU;K-row;ku;;;{k-row,basic};1;8;2026-01-22 15:04:05.992371+00
fc-kata-009;deck-katakana;ケ;Katakana;;KE;K-row;ke;;;{k-row,basic};1;9;2026-01-22 15:04:05.992371+00
fc-kata-010;deck-katakana;コ;Katakana;;KO;K-row;ko;;;{k-row,basic};1;10;2026-01-22 15:04:05.992371+00
fc-kata-011;deck-katakana;サ;Katakana;;SA;S-row;sa;;;{s-row,basic};1;11;2026-01-22 15:04:05.992371+00
fc-kata-012;deck-katakana;シ;Katakana;;SHI;S-row;shi;;;{s-row,exception};2;12;2026-01-22 15:04:05.992371+00
fc-kata-013;deck-katakana;ス;Katakana;;SU;S-row;su;;;{s-row,basic};1;13;2026-01-22 15:04:05.992371+00
fc-kata-014;deck-katakana;セ;Katakana;;SE;S-row;se;;;{s-row,basic};1;14;2026-01-22 15:04:05.992371+00
fc-kata-015;deck-katakana;ソ;Katakana;;SO;S-row;so;;;{s-row,basic};1;15;2026-01-22 15:04:05.992371+00
fc-kata-016;deck-katakana;タ;Katakana;;TA;T-row;ta;;;{t-row,basic};1;16;2026-01-22 15:04:05.992371+00
fc-kata-017;deck-katakana;チ;Katakana;;CHI;T-row;chi;;;{t-row,exception};2;17;2026-01-22 15:04:05.992371+00
fc-kata-018;deck-katakana;ツ;Katakana;;TSU;T-row;tsu;;;{t-row,exception};2;18;2026-01-22 15:04:05.992371+00
fc-kata-019;deck-katakana;テ;Katakana;;TE;T-row;te;;;{t-row,basic};1;19;2026-01-22 15:04:05.992371+00
fc-kata-020;deck-katakana;ト;Katakana;;TO;T-row;to;;;{t-row,basic};1;20;2026-01-22 15:04:05.992371+00
fc-kata-021;deck-katakana;ナ;Katakana;;NA;N-row;na;;;{n-row,basic};1;21;2026-01-22 15:04:05.992371+00
fc-kata-022;deck-katakana;ニ;Katakana;;NI;N-row;ni;;;{n-row,basic};1;22;2026-01-22 15:04:05.992371+00
fc-kata-023;deck-katakana;ヌ;Katakana;;NU;N-row;nu;;;{n-row,basic};1;23;2026-01-22 15:04:05.992371+00
fc-kata-024;deck-katakana;ネ;Katakana;;NE;N-row;ne;;;{n-row,basic};1;24;2026-01-22 15:04:15.759409+00
fc-kata-025;deck-katakana;ノ;Katakana;;NO;N-row;no;;;{n-row,basic};1;25;2026-01-22 15:04:15.759409+00
fc-kata-026;deck-katakana;ハ;Katakana;;HA;H-row;ha;;;{h-row,basic};1;26;2026-01-22 15:04:15.759409+00
fc-kata-027;deck-katakana;ヒ;Katakana;;HI;H-row;hi;;;{h-row,basic};1;27;2026-01-22 15:04:15.759409+00
fc-kata-028;deck-katakana;フ;Katakana;;FU;H-row;fu;;;{h-row,exception};2;28;2026-01-22 15:04:15.759409+00
fc-kata-029;deck-katakana;ヘ;Katakana;;HE;H-row;he;;;{h-row,basic};1;29;2026-01-22 15:04:15.759409+00
fc-kata-030;deck-katakana;ホ;Katakana;;HO;H-row;ho;;;{h-row,basic};1;30;2026-01-22 15:04:15.759409+00
fc-kata-031;deck-katakana;マ;Katakana;;MA;M-row;ma;;;{m-row,basic};1;31;2026-01-22 15:04:15.759409+00
fc-kata-032;deck-katakana;ミ;Katakana;;MI;M-row;mi;;;{m-row,basic};1;32;2026-01-22 15:04:15.759409+00
fc-kata-033;deck-katakana;ム;Katakana;;MU;M-row;mu;;;{m-row,basic};1;33;2026-01-22 15:04:15.759409+00
fc-kata-034;deck-katakana;メ;Katakana;;ME;M-row;me;;;{m-row,basic};1;34;2026-01-22 15:04:15.759409+00
fc-kata-035;deck-katakana;モ;Katakana;;MO;M-row;mo;;;{m-row,basic};1;35;2026-01-22 15:04:15.759409+00
fc-kata-036;deck-katakana;ヤ;Katakana;;YA;Y-row;ya;;;{y-row,basic};1;36;2026-01-22 15:04:15.759409+00
fc-kata-037;deck-katakana;ユ;Katakana;;YU;Y-row;yu;;;{y-row,basic};1;37;2026-01-22 15:04:15.759409+00
fc-kata-038;deck-katakana;ヨ;Katakana;;YO;Y-row;yo;;;{y-row,basic};1;38;2026-01-22 15:04:15.759409+00
fc-kata-039;deck-katakana;ラ;Katakana;;RA;R-row;ra;;;{r-row,basic};1;39;2026-01-22 15:04:15.759409+00
fc-kata-040;deck-katakana;リ;Katakana;;RI;R-row;ri;;;{r-row,basic};1;40;2026-01-22 15:04:15.759409+00
fc-kata-041;deck-katakana;ル;Katakana;;RU;R-row;ru;;;{r-row,basic};1;41;2026-01-22 15:04:15.759409+00
fc-kata-042;deck-katakana;レ;Katakana;;RE;R-row;re;;;{r-row,basic};1;42;2026-01-22 15:04:15.759409+00
fc-kata-043;deck-katakana;ロ;Katakana;;RO;R-row;ro;;;{r-row,basic};1;43;2026-01-22 15:04:15.759409+00
fc-kata-044;deck-katakana;ワ;Katakana;;WA;W-row;wa;;;{w-row,basic};1;44;2026-01-22 15:04:15.759409+00
fc-kata-045;deck-katakana;ヲ;Katakana;;WO;W-row;wo;;;{w-row,basic};1;45;2026-01-22 15:04:15.759409+00
fc-kata-046;deck-katakana;ン;Katakana;;N;Konsonan tunggal;n;;;{special,basic};1;46;2026-01-22 15:04:15.759409+00
fc-daily-001;deck-vocab-daily;おはようございます;Salam;;Selamat pagi;Greeting (formal);ohayou gozaimasu;毎朝、「おはようございます」と言います。;;{greeting,formal};1;1;2026-01-22 15:04:29.128006+00
fc-daily-002;deck-vocab-daily;こんにちは;Salam;;Selamat siang;Greeting;konnichiwa;昼に会ったら、「こんにちは」。;;{greeting};1;2;2026-01-22 15:04:29.128006+00
fc-daily-003;deck-vocab-daily;こんばんは;Salam;;Selamat malam;Greeting;konbanwa;夜に会ったら、「こんばんは」。;;{greeting};1;3;2026-01-22 15:04:29.128006+00
fc-daily-004;deck-vocab-daily;さようなら;Salam;;Selamat tinggal;Farewell;sayounara;帰るとき、「さようなら」と言います。;;{greeting,farewell};1;4;2026-01-22 15:04:29.128006+00
fc-daily-005;deck-vocab-daily;ありがとうございます;Salam;;Terima kasih;Thanks (formal);arigatou gozaimasu;手伝ってもらったら、「ありがとうございます」。;;{greeting,thanks,formal};1;5;2026-01-22 15:04:29.128006+00
fc-daily-006;deck-vocab-daily;すみません;Salam;;Permisi / Maaf;Excuse me / Sorry;sumimasen;すみません、トイレはどこですか。;;{greeting,polite};1;6;2026-01-22 15:04:29.128006+00
fc-daily-007;deck-vocab-daily;今日;Waktu;;Hari ini;Time word;kyou;今日は忙しいです。;;{time,day};1;7;2026-01-22 15:04:29.128006+00
fc-daily-008;deck-vocab-daily;明日;Waktu;;Besok;Time word;ashita;明日、会いましょう。;;{time,day};1;8;2026-01-22 15:04:29.128006+00
fc-daily-009;deck-vocab-daily;昨日;Waktu;;Kemarin;Time word;kinou;昨日、映画を見ました。;;{time,day};1;9;2026-01-22 15:04:29.128006+00
fc-daily-010;deck-vocab-daily;朝;Waktu;;Pagi;Time of day;asa;朝、六時に起きます。;;{time,period};1;10;2026-01-22 15:04:29.128006+00
fc-daily-011;deck-vocab-daily;昼;Waktu;;Siang;Time of day;hiru;昼ごはんを食べます。;;{time,period};1;11;2026-01-22 15:04:29.128006+00
fc-daily-012;deck-vocab-daily;夜;Waktu;;Malam;Time of day;yoru;夜、十時に寝ます。;;{time,period};1;12;2026-01-22 15:04:29.128006+00
fc-daily-013;deck-vocab-daily;食べます;Kata kerja;;Makan;Verb (masu-form);tabemasu;朝ごはんを食べます。;;{verb,daily};1;13;2026-01-22 15:04:29.128006+00
fc-daily-014;deck-vocab-daily;飲みます;Kata kerja;;Minum;Verb (masu-form);nomimasu;コーヒーを飲みます。;;{verb,daily};1;14;2026-01-22 15:04:29.128006+00
fc-daily-015;deck-vocab-daily;起きます;Kata kerja;;Bangun;Verb (masu-form);okimasu;六時に起きます。;;{verb,daily};1;15;2026-01-22 15:04:29.128006+00
fc-daily-016;deck-vocab-daily;寝ます;Kata kerja;;Tidur;Verb (masu-form);nemasu;十一時に寝ます。;;{verb,daily};1;16;2026-01-22 15:04:38.440302+00
fc-daily-017;deck-vocab-daily;行きます;Kata kerja;;Pergi;Verb (masu-form);ikimasu;会社に行きます。;;{verb,movement};1;17;2026-01-22 15:04:38.440302+00
fc-daily-018;deck-vocab-daily;来ます;Kata kerja;;Datang;Verb (masu-form);kimasu;友達が来ます。;;{verb,movement};1;18;2026-01-22 15:04:38.440302+00
fc-daily-019;deck-vocab-daily;帰ります;Kata kerja;;Pulang;Verb (masu-form);kaerimasu;五時に帰ります。;;{verb,movement};1;19;2026-01-22 15:04:38.440302+00
fc-daily-020;deck-vocab-daily;見ます;Kata kerja;;Melihat/Menonton;Verb (masu-form);mimasu;テレビを見ます。;;{verb,daily};1;20;2026-01-22 15:04:38.440302+00
fc-daily-021;deck-vocab-daily;水;Kata benda;;Air;Noun;mizu;水を飲みます。;;{noun,drink};1;21;2026-01-22 15:04:38.440302+00
fc-daily-022;deck-vocab-daily;ご飯;Kata benda;;Nasi / Makanan;Noun;gohan;ご飯を食べます。;;{noun,food};1;22;2026-01-22 15:04:38.440302+00
fc-daily-023;deck-vocab-daily;本;Kata benda;;Buku;Noun;hon;本を読みます。;;{noun,object};1;23;2026-01-22 15:04:38.440302+00
fc-daily-024;deck-vocab-daily;電話;Kata benda;;Telepon;Noun;denwa;電話をかけます。;;{noun,object};1;24;2026-01-22 15:04:38.440302+00
fc-daily-025;deck-vocab-daily;友達;Kata benda;;Teman;Noun;tomodachi;友達に会います。;;{noun,person};1;25;2026-01-22 15:04:38.440302+00
fc-daily-026;deck-vocab-daily;何;Kata tanya;;Apa;Question word;nani/nan;これは何ですか。;;{question,basic};1;26;2026-01-22 15:04:38.440302+00
fc-daily-027;deck-vocab-daily;どこ;Kata tanya;;Di mana;Question word;doko;トイレはどこですか。;;{question,place};1;27;2026-01-22 15:04:38.440302+00
fc-daily-028;deck-vocab-daily;いつ;Kata tanya;;Kapan;Question word;itsu;いつ行きますか。;;{question,time};1;28;2026-01-22 15:04:38.440302+00
fc-daily-029;deck-vocab-daily;だれ;Kata tanya;;Siapa;Question word;dare;あの人はだれですか。;;{question,person};1;29;2026-01-22 15:04:38.440302+00
fc-daily-030;deck-vocab-daily;いくら;Kata tanya;;Berapa (harga);Question word;ikura;これはいくらですか。;;{question,price};1;30;2026-01-22 15:04:38.440302+00
fc-work-001;deck-vocab-work;工場;Tempat;;Pabrik;Noun;koujou;工場で働きます。;;{place,work};1;1;2026-01-22 15:04:48.630075+00
fc-work-002;deck-vocab-work;会社;Tempat;;Perusahaan/Kantor;Noun;kaisha;会社に行きます。;;{place,work};1;2;2026-01-22 15:04:48.630075+00
fc-work-003;deck-vocab-work;食堂;Tempat;;Kantin;Noun;shokudou;食堂で昼ごはんを食べます。;;{place,work};1;3;2026-01-22 15:04:48.630075+00
fc-work-004;deck-vocab-work;事務所;Tempat;;Kantor (ruangan);Noun;jimusho;事務所は二階にあります。;;{place,work};2;4;2026-01-22 15:04:48.630075+00
fc-work-005;deck-vocab-work;更衣室;Tempat;;Ruang ganti;Noun;kouishitsu;更衣室で着替えます。;;{place,work};2;5;2026-01-22 15:04:48.630075+00
fc-work-006;deck-vocab-work;休憩室;Tempat;;Ruang istirahat;Noun;kyuukeishitsu;休憩室で休みます。;;{place,work};2;6;2026-01-22 15:04:48.630075+00
fc-work-007;deck-vocab-work;働きます;Kata kerja;;Bekerja;Verb;hatarakimasu;毎日八時間働きます。;;{verb,work};1;7;2026-01-22 15:04:48.630075+00
fc-work-008;deck-vocab-work;休みます;Kata kerja;;Istirahat/Libur;Verb;yasumimasu;日曜日に休みます。;;{verb,work};1;8;2026-01-22 15:04:48.630075+00
fc-work-009;deck-vocab-work;始まります;Kata kerja;;Mulai;Verb;hajimarimasu;仕事は八時に始まります。;;{verb,work};1;9;2026-01-22 15:04:48.630075+00
fc-work-010;deck-vocab-work;終わります;Kata kerja;;Selesai;Verb;owarimasu;仕事は五時に終わります。;;{verb,work};1;10;2026-01-22 15:04:48.630075+00
fc-work-011;deck-vocab-work;仕事;Kata benda;;Pekerjaan;Noun;shigoto;仕事は大変です。;;{noun,work};1;11;2026-01-22 15:04:48.630075+00
fc-work-012;deck-vocab-work;会議;Kata benda;;Rapat;Noun;kaigi;九時に会議があります。;;{noun,work};1;12;2026-01-22 15:04:48.630075+00
fc-work-013;deck-vocab-work;休憩;Kata benda;;Istirahat;Noun;kyuukei;十分休憩しましょう。;;{noun,work};1;13;2026-01-22 15:04:48.630075+00
fc-work-014;deck-vocab-work;残業;Kata benda;;Lembur;Noun;zangyou;今日は残業があります。;;{noun,work};2;14;2026-01-22 15:04:59.429335+00
fc-work-015;deck-vocab-work;研修生;Kata benda;;Peserta magang;Noun;kenshuusei;私は研修生です。;;{noun,person};1;15;2026-01-22 15:04:59.429335+00
fc-work-016;deck-vocab-work;上司;Orang;;Atasan;Noun;joushi;上司に報告します。;;{person,work};2;16;2026-01-22 15:04:59.429335+00
fc-work-017;deck-vocab-work;同僚;Orang;;Rekan kerja;Noun;douryou;同僚と話します。;;{person,work};2;17;2026-01-22 15:04:59.429335+00
fc-work-018;deck-vocab-work;社長;Orang;;Presiden direktur;Noun;shachou;社長に挨拶します。;;{person,work};2;18;2026-01-22 15:04:59.429335+00
fc-work-019;deck-vocab-work;お疲れ様です;Ekspresi;;Terima kasih atas kerja kerasnya;Work greeting;otsukaresama desu;仕事の後、「お疲れ様です」と言います。;;{expression,work,formal};1;19;2026-01-22 15:04:59.429335+00
fc-work-020;deck-vocab-work;よろしくお願いします;Ekspresi;;Mohon kerjasamanya;Polite request;yoroshiku onegaishimasu;初めて会う人に「よろしくお願いします」。;;{expression,formal};1;20;2026-01-22 15:04:59.429335+00
fc-work-021;deck-vocab-work;分かりました;Ekspresi;;Saya mengerti;Understanding;wakarimashita;指示を聞いて、「分かりました」と言います。;;{expression,response};1;21;2026-01-22 15:04:59.429335+00
fc-work-022;deck-vocab-work;すみません;Ekspresi;;Maaf / Permisi;Apology / Excuse;sumimasen;遅れたとき、「すみません」と言います。;;{expression,apology};1;22;2026-01-22 15:04:59.429335+00
fc-work-023;deck-vocab-work;失礼します;Ekspresi;;Permisi (masuk/keluar);Polite excuse;shitsurei shimasu;部屋に入るとき、「失礼します」と言います。;;{expression,formal};2;23;2026-01-22 15:04:59.429335+00
fc-work-024;deck-vocab-work;頑張ります;Ekspresi;;Saya akan berusaha;Determination;ganbarimasu;新しい仕事に「頑張ります」と言います。;;{expression,motivation};1;24;2026-01-22 15:04:59.429335+00
fc-work-025;deck-vocab-work;お先に失礼します;Ekspresi;;Permisi, saya pulang duluan;Leaving early;osaki ni shitsurei shimasu;帰るとき、「お先に失礼します」と言います。;;{expression,formal,farewell};2;25;2026-01-22 15:04:59.429335+00
fc-gram-001;deck-grammar;XはYです;Pola dasar;;X adalah Y;Basic copula;X wa Y desu;私は学生です。(Saya adalah siswa);;{copula,basic};1;1;2026-01-22 15:05:20.263379+00
fc-gram-002;deck-grammar;XはYですか;Pola pertanyaan;;Apakah X adalah Y?;Question form;X wa Y desu ka;あなたは先生ですか。(Apakah Anda guru?);;{question,basic};1;2;2026-01-22 15:05:20.263379+00
fc-gram-003;deck-grammar;XはYじゃありません;Pola negatif;;X bukan Y;Negative copula;X wa Y ja arimasen;私は先生じゃありません。(Saya bukan guru);;{negative,basic};1;3;2026-01-22 15:05:20.263379+00
fc-gram-004;deck-grammar;Verb + ます;Bentuk sopan;;Melakukan (sopan);Polite positive;masu-form;食べます (makan);;{verb,polite};1;4;2026-01-22 15:05:20.263379+00
fc-gram-005;deck-grammar;Verb + ません;Bentuk negatif;;Tidak melakukan (sopan);Polite negative;masen-form;食べません (tidak makan);;{verb,negative};1;5;2026-01-22 15:05:20.263379+00
fc-gram-006;deck-grammar;Nを Verb;Partikel objek;;Verb terhadap N;Object marker;N wo Verb;本を読みます。(Membaca buku);;{particle,object};1;6;2026-01-22 15:05:20.263379+00
fc-gram-007;deck-grammar;Nに Verb;Partikel tujuan/waktu;;Ke/pada N / Pada waktu N;Destination/Time marker;N ni Verb;会社に行きます。(Pergi ke kantor);;{particle,destination};1;7;2026-01-22 15:05:20.263379+00
fc-gram-008;deck-grammar;Nで Verb;Partikel tempat aksi;;Melakukan di N;Location of action;N de Verb;工場で働きます。(Bekerja di pabrik);;{particle,location};1;8;2026-01-22 15:05:20.263379+00
fc-gram-009;deck-grammar;Nがあります;Keberadaan benda;;Ada N (benda mati);Existence (inanimate);N ga arimasu;机の上に本があります。(Ada buku di atas meja);;{existence,inanimate};1;9;2026-01-22 15:05:20.263379+00
fc-gram-010;deck-grammar;Nがいます;Keberadaan makhluk;;Ada N (makhluk hidup);Existence (animate);N ga imasu;部屋に猫がいます。(Ada kucing di kamar);;{existence,animate};1;10;2026-01-22 15:05:20.263379+00
fc-gram-011;deck-grammar;NはPlaceにあります;Lokasi benda;;N ada di Place;Location statement;N wa Place ni arimasu;トイレは一階にあります。(Toilet ada di lantai 1);;{location,statement};1;11;2026-01-22 15:05:20.263379+00
fc-gram-012;deck-grammar;Timeに Verb;Waktu spesifik;;Verb pada Time;Specific time;Time ni Verb;七時に起きます。(Bangun jam 7);;{time,specific};1;12;2026-01-22 15:05:20.263379+00
fc-gram-013;deck-grammar;N1からN2まで;Rentang;;Dari N1 sampai N2;Range expression;N1 kara N2 made;八時から五時まで働きます。(Bekerja dari jam 8 sampai 5);;{range,time};1;13;2026-01-22 15:05:20.263379+00
fc-gram-014;deck-grammar;NのあとでVerb;Urutan;;Setelah N, Verb;Sequence (after);N no ato de Verb;仕事の後で勉強します。(Setelah kerja, belajar);;{sequence,after};2;14;2026-01-22 15:05:20.263379+00
fc-gram-015;deck-grammar;NのまえにVerb;Urutan;;Sebelum N, Verb;Sequence (before);N no mae ni Verb;仕事の前に朝ごはんを食べます。(Makan pagi sebelum kerja);;{sequence,before};2;15;2026-01-22 15:05:20.263379+00
fc-gram-016;deck-grammar;どこですか;Pertanyaan tempat;;Di mana?;Location question;doko desu ka;トイレはどこですか。(Toilet di mana?);;{question,location};1;16;2026-01-22 15:05:20.263379+00
fc-gram-017;deck-grammar;何時ですか;Pertanyaan waktu;;Jam berapa?;Time question;nan-ji desu ka;今、何時ですか。(Sekarang jam berapa?);;{question,time};1;17;2026-01-22 15:05:20.263379+00
fc-gram-018;deck-grammar;いくらですか;Pertanyaan harga;;Berapa harganya?;Price question;ikura desu ka;これはいくらですか。(Ini berapa?);;{question,price};1;18;2026-01-22 15:05:20.263379+00
fc-gram-019;deck-grammar;Verbてください;Permintaan;;Tolong Verb;Polite request;Verb-te kudasai;待ってください。(Tolong tunggu);;{request,polite};2;19;2026-01-22 15:05:20.263379+00
fc-gram-020;deck-grammar;Verbましょう;Ajakan;;Mari kita Verb;Invitation/Suggestion;Verb-mashou;食べましょう。(Mari makan);;{invitation,suggestion};2;20;2026-01-22 15:05:20.263379+00
fc-num-001;deck-numbers;一;Angka;;1 (satu);Number;ichi;一つください。;;{number,basic};1;1;2026-01-22 15:05:36.586895+00
fc-num-002;deck-numbers;二;Angka;;2 (dua);Number;ni;二人います。;;{number,basic};1;2;2026-01-22 15:05:36.586895+00
fc-num-003;deck-numbers;三;Angka;;3 (tiga);Number;san;三時に会います。;;{number,basic};1;3;2026-01-22 15:05:36.586895+00
fc-num-004;deck-numbers;四;Angka;;4 (empat);Number;shi/yon;四人です。(yon-nin);;{number,exception};2;4;2026-01-22 15:05:36.586895+00
fc-num-005;deck-numbers;五;Angka;;5 (lima);Number;go;五時に帰ります。;;{number,basic};1;5;2026-01-22 15:05:36.586895+00
fc-num-006;deck-numbers;六;Angka;;6 (enam);Number;roku;六時に起きます。;;{number,basic};1;6;2026-01-22 15:05:36.586895+00
fc-num-007;deck-numbers;七;Angka;;7 (tujuh);Number;shichi/nana;七月です。(shichi-gatsu);;{number,exception};2;7;2026-01-22 15:05:36.586895+00
fc-num-008;deck-numbers;八;Angka;;8 (delapan);Number;hachi;八時から始まります。;;{number,basic};1;8;2026-01-22 15:05:36.586895+00
fc-num-009;deck-numbers;九;Angka;;9 (sembilan);Number;ku/kyuu;九時です。(ku-ji);;{number,exception};2;9;2026-01-22 15:05:36.586895+00
fc-num-010;deck-numbers;十;Angka;;10 (sepuluh);Number;juu;十分休憩します。;;{number,basic};1;10;2026-01-22 15:05:36.586895+00
